tool_id,brand,tool_type,material,source_file
AMPC-152N-29.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-30,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-30.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-31,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-31.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-32,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-32.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-33,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-33.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-34,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-34.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-35,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-.976,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0031,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0100,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0101,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0102,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0103,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0104,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0105,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0106,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0107,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0108,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0110,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0111,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-0112,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.015,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.046,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.226,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.231,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-1.234,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-24.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-25,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-25.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-26,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-26.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-27,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-27.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-28,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-28.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-29,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-29.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-30,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-30.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-31,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-31.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-32,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-32.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-33,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-33.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-34,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-34.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-35,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152T-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0113,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0114,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0115,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0116,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0117,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0118,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0119,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0120,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0121,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0122,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0123,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0124,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0125,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0126,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0127,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-0128,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-1.547,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-1.797,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-36,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-37,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-38,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-153A-39,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
